Drug 0
        IC50  Label
41  5.958738      0
42  6.643063      0
Drug 17
        IC50  Label
0  -1.832776      0
1  -0.656124      0
2   0.627966      0
3   1.358056      0
4   1.376192      0
5   1.784899      0
6   2.267182      0
7   2.322885      0
8   2.741256      0
9   3.057325      1
10  3.327487      1
11  3.468523      1
12  3.540757      1
13  3.598494      1
14  3.751538      1
15  3.991571      1
16  4.011174      1
17  4.138263      1
18  4.224784      1
19  4.242353      1
20  4.245814      1
21  4.247101      1
22  4.249843      1
23  4.465689      1
24  4.496120      1
25  4.581197      1
26  4.608959      1
27  4.617184      1
28  4.731574      1
29  4.738385      1
30  4.739870      1
31  4.743104      1
32  4.834446      1
33  4.913912      1
34  5.071380      1
35  5.115127      1
36  5.213792      1
37  5.218975      1
38  5.240555      1
39  5.288879      1
40  5.309812      1
41  5.473571      1
42  5.687126      1
Drug 18
        IC50  Label
0  -0.752217      0
1  -0.400205      0
2   0.445482      0
3   0.551362      0
4   0.804296      0
5   1.001303      0
6   1.005325      0
7   1.081228      0
8   1.113575      0
9   1.138873      0
10  1.166043      0
11  1.185300      0
12  1.304272      0
13  1.340893      0
14  1.365689      0
15  1.456520      0
16  1.508780      0
17  1.509786      0
18  1.523724      0
19  1.578620      0
20  1.629414      0
21  1.641543      0
22  1.684403      0
23  1.862823      0
24  1.971958      0
25  2.000756      0
26  2.004268      0
27  2.070056      0
28  2.129099      0
29  2.166094      0
30  2.167709      0
31  2.250911      0
32  2.261426      0
33  2.438359      1
34  2.586034      1
35  2.717674      1
36  2.837185      1
37  2.917543      1
38  2.984989      1
39  3.095327      1
40  4.999977      1
41  5.002746      1
42  5.217906      1
Drug 19
        IC50  Label
0   1.711145      0
1   1.973638      0
2   2.002844      0
3   2.024091      0
4   2.031507      0
5   2.137558      0
6   2.146779      0
7   2.260717      0
8   2.277055      0
9   2.296925      0
10  2.367553      0
11  2.385033      0
12  2.398149      0
13  2.411370      0
14  2.453384      0
15  2.457867      0
16  2.467907      0
17  2.559363      0
18  2.594997      0
19  2.642446      0
20  2.658272      0
21  2.676332      0
22  2.681425      0
23  2.685941      0
24  2.690671      0
25  2.691097      0
26  2.743201      0
27  2.821689      1
28  2.844467      1
29  2.864646      1
30  2.906387      1
31  2.912099      1
32  2.953605      1
33  3.064627      1
34  3.147182      1
35  3.193624      1
36  3.196481      1
37  3.199276      1
38  3.278764      1
39  3.390467      1
40  3.498132      1
41  3.571451      1
42  3.995310      1
Drug 20
        IC50  Label
0  -6.379294      0
1  -5.628017      0
2  -5.328673      0
3  -5.314290      0
4  -5.176399      0
5  -5.018549      0
6  -4.813343      0
7  -4.498342      0
8  -4.403515      0
9  -4.017336      0
10 -3.926602      0
11 -3.899109      0
12 -3.823498      0
13 -3.805421      0
14 -3.797642      0
15 -3.700048      0
16 -3.637161      0
17 -3.521093      0
18 -3.482946      0
19 -3.363577      0
20 -3.244419      0
21 -3.215337      0
22 -3.149904      0
23 -3.063231      0
24 -2.812445      0
25 -2.740819      0
26 -2.727563      0
27 -2.722759      0
28 -2.563894      1
29 -2.451999      1
30 -2.331298      1
31 -2.304610      1
32 -1.984900      1
33 -1.860597      1
34 -1.573825      1
35 -1.374304      1
36 -1.278186      1
37 -1.273410      1
38 -0.812429      1
39 -0.452935      1
40  0.643760      1
41  0.743892      1
42  0.933966      1
Drug 21
        IC50  Label
0  -0.954592      0
1   0.025923      0
2   0.045198      0
3   0.281275      0
4   0.547441      0
5   0.638570      0
6   0.838846      0
7   1.045993      0
8   1.662637      0
9   1.816496      0
10  1.950857      0
11  2.061036      0
12  2.190901      0
13  2.210171      0
14  2.419239      0
15  2.654869      1
16  2.676832      1
17  2.703554      1
18  2.815619      1
19  2.837928      1
20  2.913415      1
21  2.923298      1
22  3.130041      1
23  3.195602      1
24  3.212265      1
25  3.440303      1
26  3.498695      1
27  3.651510      1
28  3.750664      1
29  3.774692      1
30  4.074012      1
31  4.180406      1
32  4.220698      1
33  4.225734      1
34  4.262064      1
35  4.339685      1
36  4.504188      1
37  4.841573      1
38  5.025787      1
39  5.127030      1
40  5.161846      1
41  5.218975      1
42  5.859442      1
Drug 22
        IC50  Label
0   0.909216      1
1   1.513900      1
2   1.688660      1
3   1.772512      1
4   1.777525      1
5   1.844720      1
6   1.857313      1
7   1.884913      1
8   1.900930      1
9   1.980963      1
10  2.155304      1
11  2.255211      1
12  2.414425      1
13  2.464213      1
14  2.467448      1
15  2.677606      1
16  2.693406      1
17  2.811361      1
18  2.827715      1
19  2.862477      1
20  2.973198      1
21  3.116233      1
22  3.125034      1
23  3.173703      1
24  3.192412      1
25  3.321816      1
26  3.396730      1
27  3.453834      1
28  3.739577      0
29  3.770245      0
30  4.079290      0
31  4.132332      0
32  4.181590      0
33  4.235615      0
34  4.434858      0
35  4.540716      0
36  4.545179      0
37  4.555333      0
38  5.025787      0
39  5.221392      0
40  5.633510      0
41  5.873560      0
42  6.750410      0
Drug 23
        IC50  Label
0   1.339376      0
1   1.967222      0
2   2.877819      0
3   3.011099      0
4   3.160549      0
5   3.371741      0
6   3.413542      0
7   3.527745      0
8   3.580099      0
9   3.597343      0
10  3.675796      0
11  3.745498      0
12  3.886436      0
13  3.920865      0
14  3.924499      0
15  3.943670      0
16  4.000985      0
17  4.076618      0
18  4.103933      0
19  4.127296      0
20  4.238667      1
21  4.245013      1
22  4.305105      1
23  4.306227      1
24  4.483002      1
25  4.555687      1
26  4.555921      1
27  4.609918      1
28  4.721867      1
29  4.739506      1
30  4.749353      1
31  4.789621      1
32  4.882709      1
33  4.988167      1
34  5.025787      1
35  5.053021      1
36  5.067304      1
37  5.213156      1
38  5.381823      1
39  5.483430      1
40  5.873623      1
41  5.999238      1
42  6.292572      1
Drug 24
        IC50  Label
0   3.035592      0
1   3.419607      0
2   3.739851      0
3   4.205903      0
4   4.213962      0
5   4.248815      0
6   4.412676      0
7   4.440143      0
8   4.449373      0
9   4.451128      0
10  4.508650      0
11  4.574921      0
12  4.586924      0
13  4.590386      0
14  4.619305      0
15  4.649195      0
16  4.677538      0
17  4.739060      0
18  4.782848      0
19  4.790760      0
20  4.823049      0
21  4.911226      0
22  5.025787      1
23  5.111679      1
24  5.124274      1
25  5.126458      1
26  5.146472      1
27  5.210188      1
28  5.218975      1
29  5.238793      1
30  5.285857      1
31  5.288920      1
32  5.332276      1
33  5.417933      1
34  5.456034      1
35  5.497662      1
36  5.633510      1
37  5.821456      1
38  5.874036      1
39  5.906383      1
40  5.999238      1
41  6.007905      1
42  6.968761      1
Drug 25
        IC50  Label
0  -1.360032      0
1  -1.190289      0
2  -1.170334      0
3  -0.457739      0
4  -0.102664      0
5   0.001090      0
6   0.101164      0
7   0.233060      0
8   0.380933      0
9   0.509376      0
10  0.661739      0
11  0.681711      0
12  0.850749      0
13  0.994588      0
14  1.132228      0
15  1.166001      0
16  1.269192      0
17  1.355229      0
18  1.406114      0
19  1.535393      0
20  1.695869      1
21  1.729932      1
22  1.906359      1
23  1.935472      1
24  2.041085      1
25  2.168709      1
26  2.173296      1
27  2.230799      1
28  2.232073      1
29  2.347384      1
30  2.361017      1
31  2.484041      1
32  2.530827      1
33  2.694426      1
34  2.740189      1
35  3.059967      1
36  3.211278      1
37  3.277316      1
38  3.506041      1
39  3.885258      1
40  4.834537      1
41  5.025787      1
42  5.179114      1
Drug 26
        IC50  Label
0  -1.529379      0
1   0.582989      0
2   0.899184      0
3   1.307684      0
4   1.323561      0
5   1.380642      0
6   1.386408      0
7   1.719129      0
8   1.760656      0
9   1.808366      0
10  1.898120      1
11  1.925989      1
12  1.932594      1
13  1.946909      1
14  2.070497      1
15  2.126099      1
16  2.169093      1
17  2.205360      1
18  2.277451      1
19  2.287610      1
20  2.293161      1
21  2.297813      1
22  2.301204      1
23  2.332469      1
24  2.388327      1
25  2.437285      1
26  2.516425      1
27  2.582200      1
28  2.597891      1
29  2.672688      1
30  2.681210      1
31  2.713604      1
32  2.743688      1
33  2.790505      1
34  2.801162      1
35  2.916390      1
36  3.070224      1
37  3.101858      1
38  3.203947      1
39  3.323181      1
40  3.407465      1
41  3.507311      1
42  3.571451      1
Drug 27
        IC50  Label
0  -2.756033      0
1  -2.361057      0
2  -1.793319      0
3  -1.728474      0
4  -1.547559      0
5  -0.784013      0
6  -0.660795      0
7  -0.216958      0
8  -0.161065      0
9  -0.012820      0
10  0.145137      0
11  0.404690      0
12  0.900303      0
13  0.920799      0
14  1.009059      0
15  1.107772      0
16  1.256570      0
17  1.274838      0
18  1.291960      0
19  1.376677      0
20  1.426513      0
21  1.527800      0
22  1.666127      0
23  2.191936      1
24  2.490622      1
25  2.604060      1
26  2.681262      1
27  2.739871      1
28  2.758800      1
29  2.796068      1
30  2.845449      1
31  2.952663      1
32  3.012396      1
33  3.329822      1
34  3.543092      1
35  3.611558      1
36  3.699358      1
37  3.714263      1
38  3.808814      1
39  4.212978      1
40  4.244634      1
41  4.276903      1
42  5.392320      1
Drug 28
        IC50  Label
0   1.981912      0
1   2.518304      0
2   2.686664      0
3   2.766910      0
4   2.798484      0
5   2.874220      0
6   3.027398      0
7   3.032298      0
8   3.123291      0
9   3.154780      0
10  3.258972      0
11  3.266141      0
12  3.278451      0
13  3.361392      0
14  3.361768      0
15  3.383151      0
16  3.524046      0
17  3.561842      0
18  3.635445      0
19  3.636406      0
20  3.657788      0
21  3.754850      0
22  3.825475      0
23  3.885358      0
24  3.991385      0
25  4.059649      0
26  4.131686      0
27  4.220723      0
28  4.262819      0
29  4.387727      0
30  4.508812      1
31  4.681056      1
32  4.923800      1
33  5.068172      1
34  5.264764      1
35  5.409301      1
36  5.563478      1
37  5.586053      1
38  5.755504      1
39  5.869393      1
40  5.888405      1
41  6.090088      1
42  6.543467      1
Drug 29
        IC50  Label
0   2.007525      0
1   2.340742      0
2   2.717346      0
3   2.738100      0
4   2.813081      0
5   2.940217      0
6   2.981734      0
7   3.095212      0
8   3.169406      0
9   3.206428      0
10  3.216557      0
11  3.221474      0
12  3.287362      0
13  3.362401      0
14  3.393082      0
15  3.422082      0
16  3.445541      0
17  3.613011      0
18  3.849411      0
19  3.869287      0
20  3.869288      0
21  3.879320      0
22  4.025479      1
23  4.146008      1
24  4.170232      1
25  4.207668      1
26  4.265940      1
27  4.340514      1
28  4.438201      1
29  4.481285      1
30  4.548996      1
31  4.568893      1
32  4.579537      1
33  4.664118      1
34  4.683782      1
35  4.823234      1
36  4.925875      1
37  5.013009      1
38  5.061338      1
39  5.092307      1
40  5.194021      1
41  5.527926      1
42  5.874878      1
Drug 30
        IC50  Label
0   0.505555      1
1   0.757767      1
2   2.128697      1
3   2.191016      1
4   2.199233      1
5   2.327331      1
6   2.616523      1
7   2.631952      1
8   2.709658      1
9   2.818790      1
10  2.829833      1
11  2.850511      1
12  2.956711      1
13  3.021977      1
14  3.090060      1
15  3.136708      1
16  3.307754      1
17  3.527161      0
18  3.628167      0
19  3.715450      0
20  3.759721      0
21  3.836758      0
22  3.911494      0
23  3.971622      0
24  4.003554      0
25  4.040101      0
26  4.061357      0
27  4.226668      0
28  4.324140      0
29  4.347888      0
30  4.480436      0
31  4.510584      0
32  4.610572      0
33  4.662144      0
34  4.876847      0
35  4.892874      0
36  4.893704      0
37  5.025787      0
38  5.050354      0
39  5.104752      0
40  5.145228      0
41  5.619348      0
42  6.237196      0
Drug 31
        IC50  Label
0  -1.580084      1
1   0.829458      1
2   1.379961      1
3   1.464536      1
4   1.510935      1
5   1.677880      1
6   1.949369      1
7   1.950418      1
8   2.138198      1
9   2.142495      1
10  2.175016      1
11  2.319519      1
12  2.543184      1
13  2.756884      1
14  2.986994      1
15  3.251652      1
16  3.280989      1
17  3.400769      1
18  3.488658      1
19  3.507223      1
20  3.545506      1
21  3.966007      0
22  4.045316      0
23  4.254627      0
24  4.325277      0
25  4.551292      0
26  4.780249      0
27  4.787849      0
28  4.823976      0
29  4.836065      0
30  4.926217      0
31  4.930655      0
32  5.304552      0
33  5.377754      0
34  5.610512      0
35  5.654490      0
36  5.927842      0
37  6.023085      0
38  6.161734      0
39  6.221267      0
40  6.274419      0
41  6.576580      0
42  7.094178      0
Drug 32
        IC50  Label
0  -1.357438      0
1  -1.304102      0
2  -1.285854      0
3  -1.179642      0
4  -0.751521      0
5  -0.695895      0
6  -0.670454      0
7  -0.506744      0
8  -0.159663      0
9   0.086521      0
10  0.212099      0
11  0.271671      0
12  0.336323      0
13  0.591528      0
14  0.714135      0
15  0.975429      0
16  1.133582      0
17  1.174993      0
18  1.193524      0
19  1.207616      0
20  1.407277      0
21  1.473544      0
22  1.513831      0
23  1.595702      0
24  1.686588      0
25  1.957556      1
26  2.059761      1
27  2.376495      1
28  2.484548      1
29  2.559784      1
30  3.013386      1
31  3.033510      1
32  3.118832      1
33  3.350579      1
34  3.399148      1
35  3.726413      1
36  3.811822      1
37  3.864877      1
38  3.979823      1
39  4.041995      1
40  4.415688      1
41  4.480404      1
42  5.209730      1
